iter	Passed	Remaining
0	139	138983
1	139	69718
2	140	46672
3	141	35111
4	141	28174
5	142	23561
6	142	20247
7	143	17755
8	143	15826
9	144	14284
10	145	13044
11	145	12006
12	146	11123
13	147	10369
14	147	9712
15	148	9135
16	149	8628
17	149	8173
18	150	7765
19	151	7401
20	151	7062
21	151	6753
22	152	6473
23	152	6214
24	153	5975
25	153	5755
26	154	5552
27	154	5362
28	154	5187
29	155	5023
30	155	4869
31	156	4725
32	156	4592
33	157	4465
34	157	4344
35	157	4230
36	158	4122
37	158	4020
38	159	3923
39	159	3830
40	160	3745
41	160	3668
42	161	3591
43	161	3518
44	162	3447
45	163	3381
46	163	3316
47	164	3252
48	164	3193
49	164	3134
50	165	3078
51	165	3025
52	166	2973
53	166	2922
54	167	2873
55	167	2826
56	168	2783
57	168	2739
58	169	2698
59	169	2659
60	170	2619
61	170	2582
62	171	2545
63	171	2509
64	172	2474
65	172	2440
66	172	2407
67	173	2372
68	173	2341
69	174	2312
70	174	2283
71	175	2255
72	175	2229
73	176	2203
74	176	2177
75	177	2152
76	177	2128
77	178	2104
78	178	2082
79	179	2060
80	179	2038
81	180	2016
82	180	1995
83	180	1973
84	181	1951
85	181	1931
86	182	1910
87	182	1890
88	182	1872
89	183	1853
90	183	1835
91	184	1817
92	184	1800
93	185	1783
94	185	1767
95	185	1751
96	186	1735
97	186	1720
98	187	1704
99	187	1689
100	188	1674
101	188	1658
102	188	1643
103	189	1629
104	189	1617
105	190	1605
106	190	1593
107	191	1580
108	191	1568
109	192	1557
110	192	1545
111	193	1533
112	193	1522
113	194	1510
114	194	1499
115	195	1487
116	195	1475
117	196	1465
118	196	1453
119	196	1443
120	197	1433
121	197	1423
122	197	1411
123	198	1401
124	198	1391
125	199	1381
126	199	1372
127	200	1362
128	200	1354
129	201	1345
130	201	1337
131	202	1329
132	202	1320
133	203	1312
134	203	1303
135	203	1295
136	204	1288
137	204	1280
138	205	1272
139	206	1265
140	206	1258
141	207	1250
142	207	1244
143	208	1238
144	208	1231
145	209	1224
146	209	1217
147	210	1211
148	210	1204
149	211	1197
150	211	1190
151	212	1183
152	212	1176
153	212	1170
154	213	1163
155	213	1157
156	214	1150
157	214	1144
158	215	1138
159	215	1131
160	215	1125
161	216	1119
162	216	1113
163	217	1107
164	217	1101
165	218	1096
166	218	1090
167	219	1085
168	219	1080
169	220	1076
170	221	1072
171	221	1067
172	222	1063
173	223	1058
174	223	1054
175	224	1050
176	224	1046
177	225	1042
178	226	1038
179	226	1033
180	227	1027
181	227	1022
182	228	1017
183	228	1013
184	229	1009
185	229	1005
186	230	1001
187	230	996
188	231	992
189	231	987
190	232	983
191	232	979
192	233	974
193	233	970
194	234	966
195	234	963
196	235	959
197	236	956
198	236	952
199	237	949
200	237	946
201	238	942
202	239	938
203	239	934
204	239	930
205	240	926
206	240	922
207	241	918
208	241	914
209	242	910
210	242	906
211	242	902
212	243	898
213	243	895
214	244	891
215	244	887
216	244	883
217	245	880
218	245	876
219	246	872
220	246	869
221	247	865
222	247	862
223	248	859
224	248	856
225	249	853
226	249	850
227	250	847
228	250	843
229	251	840
230	251	837
231	252	834
232	252	831
233	253	828
234	253	825
235	254	822
236	254	819
237	254	816
238	255	813
239	255	809
240	256	806
241	256	803
242	257	800
243	257	798
244	258	795
245	258	793
246	259	790
247	259	787
248	260	785
249	260	782
250	261	779
251	261	776
252	262	774
253	262	771
254	263	768
255	263	766
256	264	764
257	264	761
258	265	758
259	265	756
260	266	753
261	266	751
262	267	748
263	267	745
264	267	743
265	268	740
266	268	738
267	269	735
268	269	732
269	270	730
270	270	727
271	271	725
272	271	723
273	271	720
274	272	717
275	272	715
276	273	713
277	273	710
278	274	708
279	274	705
280	274	703
281	275	700
282	275	698
283	276	696
284	276	694
285	277	692
286	277	690
287	278	688
288	278	686
289	279	684
290	279	681
291	280	679
292	280	677
293	281	675
294	281	673
295	282	671
296	282	669
297	283	667
298	283	665
299	284	663
300	284	660
301	285	658
302	285	656
303	285	654
304	286	652
305	286	650
306	287	648
307	287	645
308	287	643
309	288	642
310	288	640
311	289	638
312	289	636
313	290	634
314	290	632
315	291	630
316	291	628
317	292	626
318	292	624
319	292	622
320	293	620
321	293	618
322	294	616
323	294	615
324	295	613
325	295	611
326	296	609
327	296	607
328	296	605
329	297	603
330	297	602
331	298	600
332	298	598
333	299	596
334	299	595
335	300	593
336	300	591
