iter	Passed	Remaining
0	1	1614
1	2	1401
2	3	1199
3	4	1083
4	5	1022
5	5	987
6	6	950
7	7	929
8	8	913
9	9	902
10	9	892
11	11	916
12	11	905
13	12	894
14	13	883
15	14	872
16	15	868
17	15	859
18	16	850
19	17	843
20	18	840
21	18	839
22	19	829
23	20	822
24	21	819
25	21	810
26	22	805
27	23	801
28	23	796
29	24	799
30	25	809
31	26	805
32	27	805
33	28	802
34	29	805
35	30	805
36	31	807
37	31	807
38	32	805
39	33	801
40	34	799
41	35	806
42	36	808
43	37	809
44	38	809
45	39	816
46	40	816
47	41	813
48	41	810
49	42	807
50	43	805
51	44	803
52	44	801
53	45	798
54	46	795
55	47	795
56	47	792
57	49	797
58	50	799
59	50	797
60	51	796
61	52	799
62	53	800
63	54	804
64	56	805
65	56	802
66	57	801
67	58	799
68	59	796
69	59	793
70	60	789
71	61	787
72	61	786
73	62	785
74	63	785
75	64	784
76	65	784
77	66	785
78	67	788
79	68	786
80	69	783
81	69	782
82	70	776
83	71	774
84	71	772
85	72	770
86	73	768
87	74	767
88	74	764
89	75	762
90	76	760
91	76	759
92	77	758
93	78	759
94	79	759
95	81	764
96	82	764
97	82	762
98	83	760
99	84	759
100	85	758
101	85	756
102	86	754
103	87	752
104	88	750
105	88	748
106	89	747
107	90	744
108	90	742
109	91	740
110	92	739
111	92	736
112	93	735
113	94	737
114	95	736
115	96	734
116	96	731
117	97	729
118	98	728
119	99	727
120	100	726
121	100	724
122	101	722
123	102	723
124	103	721
125	103	720
126	104	718
127	105	717
128	106	716
129	106	715
130	107	713
131	108	713
132	109	712
133	110	711
134	110	711
135	111	709
136	112	707
137	113	706
138	113	704
139	114	703
140	115	702
141	116	701
142	116	700
143	117	699
144	118	697
145	119	696
146	119	694
147	120	693
148	121	691
149	122	692
150	123	694
151	124	694
152	125	694
153	126	692
154	126	691
155	127	690
156	128	689
157	129	687
158	129	686
159	130	685
160	130	682
161	131	681
162	132	679
163	133	678
164	133	676
165	134	675
166	135	674
167	136	677
168	137	678
169	138	678
170	139	677
171	140	675
172	141	674
173	141	673
174	142	672
175	143	671
176	144	669
177	144	668
178	145	666
179	146	666
180	147	665
181	147	664
182	148	664
183	149	664
184	151	666
185	152	666
186	152	665
187	153	664
188	154	663
189	155	662
190	156	660
191	156	659
192	157	658
193	158	657
194	159	656
195	159	655
196	160	654
197	161	652
198	161	651
199	162	651
200	164	652
201	165	652
202	166	651
203	166	650
204	167	650
205	168	648
206	168	647
207	169	646
208	170	645
209	171	644
210	171	642
211	172	641
212	173	640
213	174	639
214	174	638
215	175	637
216	176	636
217	177	635
218	178	636
219	179	635
220	180	635
221	181	635
222	182	634
223	182	633
224	183	631
225	184	630
226	184	629
227	185	628
228	186	627
229	187	627
230	188	626
231	188	624
232	189	623
233	190	622
234	191	622
235	193	624
236	193	624
237	194	623
238	195	622
239	196	622
240	197	621
241	198	620
242	198	619
243	199	619
244	200	618
245	201	617
246	202	616
247	202	615
248	203	613
249	204	612
250	205	613
251	207	614
252	208	615
253	209	613
254	209	612
255	210	611
256	211	610
257	212	609
258	212	609
259	213	608
260	214	607
